Food Product,Main Ingredient,Sweetener,Fat/Oil,Seasoning,Allergens,Prediction,source
Kids Meatball,Kids' Combos,None,None,"Includes 12 oz. fountain drink and kid's treat*.
*Upgrade to chips, cookie or brownie for an additional charge. Milk is available at select Firehouse Subs locations, check your local restaurant for details.",Dairy,Contains,uber_eats
Kids Honey Ham ,Kids' Combos,None,None,"Includes 12 oz. fountain drink and kid's treat*.
*Upgrade to chips, cookie or brownie for an additional charge. Milk is available at select Firehouse Subs locations, check your local restaurant for details.",Dairy,Contains,uber_eats
Kids Grilled Cheese,Kids' Combos,None,None,"Includes 12 oz. fountain drink and kid's treat*.
*Upgrade to chips, cookie or brownie for an additional charge. Milk is available at select Firehouse Subs locations, check your local restaurant for details.",Dairy,Contains,uber_eats
Beefy Melt Burrito,Picked for you,None,None,"Seasoned Rice, Seasoned Beef, Nacho Cheese Sauce, Fiesta Strips, Three Cheese Blend, Reduced Fat Sour Cream wrapped in a warm tortilla.",Dairy,Contains,uber_eats
Chicken Quesadilla,Picked for you,None,None,"An extra flour tortilla filled with melty three-cheese blend, fire grilled chicken, creamy jalapeño sauce folded and grilled to perfection.",Dairy,Contains,uber_eats
Quesarito,Picked for you,None,None,"A melty cheese quesadilla, with shredded cheddar cheese and warm nacho cheese sauce is opened and wrapped around a burrito filled with seasoned beef, seasoned rice, cool sour cream and creamy chipotle sauce.",Dairy,Contains,uber_eats
Crunchwrap Supreme®,Picked for you,None,None,"A flour tortilla layered with seasoned beef, warm nacho cheese sauce, a crispy tostada shell, crispy lettuce, ripe tomatoes and topped with cool sour cream all wrapped in our signature crunchwrap fold and grilled to go.",Dairy,Contains,uber_eats
Toasted Cheddar Chalupa,Featured,None,None,"A Chalupa shell with 6-month aged cheddar toasted on the outside and with seasoned beef, reduced-fat sour cream, tomatoes, lettuce, and cheddar cheese on the inside.",Dairy,Contains,uber_eats
Black Bean Toasted Cheddar Chalupa,Featured,None,None,"A Chalupa shell with 6-month aged cheddar toasted on the outside and with black beans, reduced-fat sour cream, tomatoes, lettuce, and cheddar cheese on the inside.","Dairy, Legumes",Contains,uber_eats
Toasted Cheddar Chalupa Deluxe Box,Featured,None,None,"Includes one Toasted Cheddar Chalupa with grilled, all-white-meat chicken, one Crunchy Taco, chips and nacho cheese sauce, and a medium fountain drink.",Dairy,Contains,uber_eats
Toasted Cheddar Chalupa Deluxe Box,Combos,None,None,"Includes one Toasted Cheddar Chalupa with grilled, all-white-meat chicken, one Crunchy Taco, chips and nacho cheese sauce, and a medium fountain drink.",Dairy,Contains,uber_eats
3 Doritos® Locos Tacos Combo,Combos,None,None,Includes three Nacho Cheese Doritos® Locos Tacos and a Large drink.,Dairy,Contains,uber_eats
3 Doritos® Locos Tacos Supreme Combo,Combos,None,None,Includes three Nacho Cheese Doritos® Locos Tacos Supreme® and a Large drink.,Dairy,Contains,uber_eats
Meal for 2,GROUPS,None,None,"Includes two Crunchwrap Supremes®, two Bean Burritos, two Soft Tacos, and two orders of chips and nacho cheese sauce. Set max quantities to add item to cart.",Dairy,Contains,uber_eats
Veggie Meal for 2,GROUPS,None,None,"Includes two Cheese Quesadillas, two Bean Burritos, two Spicy Potato Soft Tacos, and two orders of chips and nacho cheese sauce. Set max quantities to add item to cart.",Dairy,Contains,uber_eats
Meal for 4,GROUPS,None,None,"Includes two Crunchwrap Supremes®, two Chicken Quesadillas, four Soft Tacos, and two orders of chips and nacho cheese sauce. Set max quantities to add item to cart.",Dairy,Contains,uber_eats
Variety Taco Party Pack,GROUPS,None,None,"Your choice of 12 of the following tacos: Crunchy or Soft Taco, or Nacho Cheese Doritos® Locos Tacos.",Dairy,Contains,uber_eats
Supreme Variety Taco Party Pack,GROUPS,None,None,"Your choice of 12 of the following tacos: Crunchy or Soft Taco Supremes®, or Nacho Cheese Doritos® Locos Tacos Supremes®",Dairy,Contains,uber_eats
Toasted Cheddar Chalupa,Specialties,None,None,"A Chalupa shell with 6-month aged cheddar toasted on the outside and with seasoned beef, reduced-fat sour cream, tomatoes, lettuce, and cheddar cheese on the inside.",Dairy,Contains,uber_eats
Black Bean Toasted Cheddar Chalupa,Specialties,None,None,"A Chalupa shell with 6-month aged cheddar toasted on the outside and with black beans, reduced-fat sour cream, tomatoes, lettuce, and cheddar cheese on the inside.","Dairy, Legumes",Contains,uber_eats
Chalupa Supreme®,Specialties,None,None,"Chewy fried chalupa bread filled with seasoned beef, sour cream, crispy lettuce, three-cheese blend and ripe tomatoes.","Dairy, Wheat",Contains,uber_eats
Black Bean Chalupa Supreme®,Specialties,None,None,"A chewy chalupa shell filled with black beans, reduced-fat sour cream, lettuce, tomatoes, and three-cheese blend.","Dairy, Legumes",Contains,uber_eats
Crunchwrap Supreme®,Specialties,None,None,"A flour tortilla layered with seasoned beef, warm nacho cheese sauce, a crispy tostada shell, crispy lettuce, ripe tomatoes and topped with cool sour cream all wrapped in our signature crunchwrap fold and grilled to go.",Dairy,Contains,uber_eats
Cheesy Gordita Crunch,Specialties,None,None,"A warm flatbread layered with three-cheese blend and wrapped around a crunchy taco filled with seasoned beef, spicy ranch sauce, crispy lettuce and shredded cheddar cheese.",Dairy,Contains,uber_eats
Doritos® Cheesy Gordita Crunch - Nacho Cheese,Specialties,None,None,"A Nacho Cheese Doritos® Locos Tacos wrapped up in a soft piece of flatbread with Seasoned Beef, Spicy Ranch Sauce, Lettuce, Cheddar Cheese, and a Three Cheese Blend.",Dairy,Contains,uber_eats
Cheesy Roll Up,Specialties,None,None,"A warm flour tortilla filled with our 3-cheese blend. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.","Dairy, Eggs",Contains,uber_eats
Chicken Chipotle Melt,Specialties,None,None,"Grilled chicken, creamy chipotle sauce, and real shredded cheddar cheese all wrapped up in a warm flour tortilla.",Dairy,Contains,uber_eats
Soft Taco,Tacos,None,None,"A warm flour tortilla filled with seasoned beef, crispy lettuce and shredded cheddar cheese.",Dairy,Contains,uber_eats
Soft Taco Supreme®,Tacos,None,None,"A warm flour tortilla filled with seasoned beef, cool sour cream, crispy lettuce, shredded cheddar cheese and ripe tomatoes.",Dairy,Contains,uber_eats
Crunchy Taco,Tacos,None,None,"A crunchy taco shell filled with seasoned beef, crispy lettuce and shredded cheddar cheese.",Dairy,Contains,uber_eats
Crunchy Taco Supreme®,Tacos,None,None,"A crunchy taco shell filled with seasoned beef, cool sour cream, crispy lettuce, shredded cheddar cheese and ripe tomatoes.",Dairy,Contains,uber_eats
Nacho Cheese Doritos® Locos Tacos,Tacos,None,None,"A crunchy taco shell made from Nacho Cheese Doritos® is filled with seasoned beef, crispy lettuce, and pico de gallo.",Dairy,Contains,uber_eats
Nacho Cheese Doritos® Locos Tacos Supreme®,Tacos,None,None,"A crunchy taco shell made from Nacho Cheese Doritos® is filled with seasoned beef, cool sour cream, crispy lettuce, shredded cheddar cheese and ripe tomatoes.",Dairy,Contains,uber_eats
Spicy Potato Soft Taco,Tacos,None,None,"A flour tortilla filled with crispy potato bites, lettuce, real shredded cheddar cheese, and creamy chipotle sauce.",Dairy,Contains,uber_eats
Bean Burrito,Burritos,None,None,"Warm flour tortilla filled with refried beans, shredded cheddar cheese, flavorful red sauce and diced onions. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.","Dairy, Eggs",Contains,uber_eats
Beefy 5-Layer Burrito,Burritos,None,None,"A warm tortilla is covered in a layer of warm nacho cheese and topped with seasoned beef, refried beans, cool sour cream and shredded cheddar cheese. Then it's wrapped creating a layer of nacho cheese all around the outside of the burrito.",Dairy,Contains,uber_eats
Quesarito,Burritos,None,None,"A melty cheese quesadilla, with shredded cheddar cheese and warm nacho cheese sauce is opened and wrapped around a burrito filled with seasoned beef, seasoned rice, cool sour cream and creamy chipotle sauce.",Dairy,Contains,uber_eats
Burrito Supreme®,Burritos,None,None,"A warm flour tortilla loaded with seasoned beef, refried beans, tomatoes, onions, iceberg lettuce, reduced-fat sour cream, red sauce and cheddar cheese.",Dairy,Contains,uber_eats
Chipotle Ranch Grilled Chicken Burrito,Burritos,None,None,"Grilled chicken, fiesta strips, avocado ranch sauce, creamy chipotle sauce, lettuce, tomatoes, and real shredded cheddar cheese wrapped inside a warm flour tortilla.",Dairy,Contains,uber_eats
Beefy Melt Burrito,Burritos,None,None,"Seasoned Rice, Seasoned Beef, Nacho Cheese Sauce, Fiesta Strips, Three Cheese Blend, Reduced Fat Sour Cream wrapped in a warm tortilla.",Dairy,Contains,uber_eats
Cheesy Bean and Rice Burrito,Burritos,None,None,"A warm flour tortilla filled with refried beans, seasoned rice, nacho cheese sauce and creamy jalapeño sauce. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.","Dairy, Eggs",Contains,uber_eats
Fiesta Veggie Burrito,Burritos,None,None,"The Fiesta Veggie Burrito comes with Seasoned Rice, Black Beans, Red Strips, Creamy Chipotle Sauce, Reduced-Fat Sour Cream, a Three-Cheese Blend, Tomatoes, and Guacamole.",Dairy,Contains,uber_eats
Chicken Quesadilla,Quesadillas,None,None,"An extra flour tortilla filled with melty three-cheese blend, fire grilled chicken, creamy jalapeño sauce folded and grilled to perfection.",Dairy,Contains,uber_eats
Steak Quesadilla,Quesadillas,None,None,"A warm flour tortilla filled with USDA Select Marinated Grilled Steak, Three Cheese Blend, Creamy Jalapeno Sauce, folded over and grilled.",Dairy,Contains,uber_eats
Cheese Quesadilla,Quesadillas,None,None,"Large flour tortilla filled with melty three-cheese blend, creamy jalapeño sauce, perfectly folded &amp; grilled. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.","Dairy, Eggs",Contains,uber_eats
Nachos BellGrande®,Nachos,None,None,"A portion of crispy tortilla chips topped with warm nacho cheese sauce, refried beans, seasoned beef, ripe tomatoes and cool sour cream.",Dairy,Contains,uber_eats
Chips and Nacho Cheese Sauce,Nachos,None,None,Nacho chips with a side of warm nacho cheese sauce for dipping.,Dairy,Contains,uber_eats
Spicy Potato Soft Taco,New Cravings Value Menu,None,None,"A flour tortilla filled with crispy potato bites, lettuce, real shredded cheddar cheese, and creamy chipotle sauce.",Dairy,Contains,uber_eats
Chipotle Ranch Grilled Chicken Burrito,New Cravings Value Menu,None,None,"Grilled chicken, fiesta strips, avocado ranch sauce, creamy chipotle sauce, lettuce, tomatoes, and real shredded cheddar cheese wrapped inside a warm flour tortilla.",Dairy,Contains,uber_eats
Beefy Melt Burrito,New Cravings Value Menu,None,None,"Seasoned Rice, Seasoned Beef, Nacho Cheese Sauce, Fiesta Strips, Three Cheese Blend, Reduced Fat Sour Cream wrapped in a warm tortilla.",Dairy,Contains,uber_eats
Cheesy Bean and Rice Burrito,New Cravings Value Menu,None,None,"A warm flour tortilla filled with refried beans, seasoned rice, nacho cheese sauce and creamy jalapeño sauce. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.","Dairy, Eggs",Contains,uber_eats
Fiesta Veggie Burrito,New Cravings Value Menu,None,None,"The Fiesta Veggie Burrito comes with Seasoned Rice, Black Beans, Red Strips, Creamy Chipotle Sauce, Reduced-Fat Sour Cream, a Three-Cheese Blend, Tomatoes, and Guacamole.",Dairy,Contains,uber_eats
Cheesy Roll Up,New Cravings Value Menu,None,None,"A warm flour tortilla filled with our 3-cheese blend. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.","Dairy, Eggs",Contains,uber_eats
Cinnamon Twists,New Cravings Value Menu,None,None,"Crispy, puffed corn twists sprinkled with cinnamon and sugar.",Corn,Contains,uber_eats
Cinnamon Twists,Sweets,None,None,"Crispy, puffed corn twists sprinkled with cinnamon and sugar.",Corn,Contains,uber_eats
Cinnabon Delights® 2 Pack,Sweets,None,None,"Warm donut holes filled with Cinnabon® signature cream cheese frosting, and dusted in Makara Cinnamon sugar",Dairy,Contains,uber_eats
Cinnabon Delights® 12 Pack,Sweets,None,None,"Warm donut holes filled with Cinnabon® signature cream cheese frosting, and dusted in Makara Cinnamon sugar.",Dairy,Contains,uber_eats
Cheesy Fiesta Potatoes,Sides,None,None,Crispy potato bites topped with reduced-fat sour cream and nacho cheese sauce.,Dairy,Contains,uber_eats
Chips and Nacho Cheese Sauce,Sides,None,None,Nacho chips with a side of warm nacho cheese sauce for dipping.,Dairy,Contains,uber_eats
Black Beans,Sides,None,None,"Savory black beans. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.",Eggs,Contains,uber_eats
Black Beans and Rice,Sides,None,None,"Black beans served with seasoned rice. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.",Eggs,Contains,uber_eats
Cinnamon Twists,Sides,None,None,"Crispy, puffed corn twists sprinkled with cinnamon and sugar.",Corn,Contains,uber_eats
Cinnabon Delights® 2 Pack,Sides,None,None,"Warm donut holes filled with Cinnabon® signature cream cheese frosting, and dusted in Makara Cinnamon sugar",Dairy,Contains,uber_eats
Cinnabon Delights® 12 Pack,Sides,None,None,"Warm donut holes filled with Cinnabon® signature cream cheese frosting, and dusted in Makara Cinnamon sugar.",Dairy,Contains,uber_eats
Nacho Cheese Sauce,Sides,None,None,,Dairy,Contains,uber_eats
Reduced-Fat Sour Cream,Sides,None,None,,Dairy,Contains,uber_eats
Power Menu Bowl,Bowls,None,None,"Seasoned rice and black beans topped with grilled chicken, avocado ranch sauce, reduced-fat sour cream, lettuce, tomatoes, real cheddar cheese and guacamole.",Dairy,Contains,uber_eats
Power Menu Bowl - Veggie,Bowls,None,None,"Seasoned rice and black beans topped with avocado ranch sauce, reduced-fat sour cream, lettuce, tomatoes, real cheddar cheese and guacamole.",Dairy,Contains,uber_eats
Black Bean Toasted Cheddar Chalupa,Veggie Cravings,None,None,"A Chalupa shell with 6-month aged cheddar toasted on the outside and with black beans, reduced-fat sour cream, tomatoes, lettuce, and cheddar cheese on the inside.","Dairy, Legumes",Contains,uber_eats
Bean Burrito,Veggie Cravings,None,None,"Warm flour tortilla filled with refried beans, shredded cheddar cheese, flavorful red sauce and diced onions. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.","Dairy, Eggs",Contains,uber_eats
Cheesy Bean and Rice Burrito,Veggie Cravings,None,None,"A warm flour tortilla filled with refried beans, seasoned rice, nacho cheese sauce and creamy jalapeño sauce. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.","Dairy, Eggs",Contains,uber_eats
Fiesta Veggie Burrito,Veggie Cravings,None,None,"The Fiesta Veggie Burrito comes with Seasoned Rice, Black Beans, Red Strips, Creamy Chipotle Sauce, Reduced-Fat Sour Cream, a Three-Cheese Blend, Tomatoes, and Guacamole.",Dairy,Contains,uber_eats
Spicy Potato Soft Taco,Veggie Cravings,None,None,"A flour tortilla filled with crispy potato bites, lettuce, real shredded cheddar cheese, and creamy chipotle sauce.",Dairy,Contains,uber_eats
Black Bean Chalupa Supreme®,Veggie Cravings,None,None,"A chewy chalupa shell filled with black beans, reduced-fat sour cream, lettuce, tomatoes, and three-cheese blend.","Dairy, Legumes",Contains,uber_eats
Cheese Quesadilla,Veggie Cravings,None,None,"Large flour tortilla filled with melty three-cheese blend, creamy jalapeño sauce, perfectly folded &amp; grilled. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.","Dairy, Eggs",Contains,uber_eats
Power Menu Bowl - Veggie,Veggie Cravings,None,None,"Seasoned rice and black beans topped with avocado ranch sauce, reduced-fat sour cream, lettuce, tomatoes, real cheddar cheese and guacamole.",Dairy,Contains,uber_eats
Cheesy Roll Up,Veggie Cravings,None,None,"A warm flour tortilla filled with our 3-cheese blend. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.","Dairy, Eggs",Contains,uber_eats
Cheesy Fiesta Potatoes,Veggie Cravings,None,None,Crispy potato bites topped with reduced-fat sour cream and nacho cheese sauce.,Dairy,Contains,uber_eats
Chips and Nacho Cheese Sauce,Veggie Cravings,None,None,Nacho chips with a side of warm nacho cheese sauce for dipping.,Dairy,Contains,uber_eats
Black Beans,Veggie Cravings,None,None,"Savory black beans. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.",Eggs,Contains,uber_eats
Black Beans and Rice,Veggie Cravings,None,None,"Black beans served with seasoned rice. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.",Eggs,Contains,uber_eats
Cinnamon Twists,Veggie Cravings,None,None,"Crispy, puffed corn twists sprinkled with cinnamon and sugar.",Corn,Contains,uber_eats
Cinnabon Delights® 2 Pack,Veggie Cravings,None,None,"Warm donut holes filled with Cinnabon® signature cream cheese frosting, and dusted in Makara Cinnamon sugar",Dairy,Contains,uber_eats
Cinnabon Delights® 12 Pack,Veggie Cravings,None,None,"Warm donut holes filled with Cinnabon® signature cream cheese frosting, and dusted in Makara Cinnamon sugar.",Dairy,Contains,uber_eats
"9"" Square Cake",Picked for you,None,None,Serves 30. Egg and dairy.,Eggs,Contains,uber_eats
"8"" Square Cake",Picked for you,None,None,Serves 20. Egg and dairy.,Eggs,Contains,uber_eats
"9"" Square Cake*",Picked for you,None,None,Serves 30. Egg and dairy. *REQUIRES 48 HOURS NOTICE.,Eggs,Contains,uber_eats
Brownie,Picked for you,None,None,Egg and dairy.,Eggs,Contains,uber_eats
Birthday Cake Cupcake,Favorites,None,None,"Just perfect yellow butter cake with chocolate frosting, plus tons of sprinkles on top.",Dairy,Contains,uber_eats
Chocolate High Cupcake,Favorites,None,None,"Decadent chocolate cake topped with our chocolate buttercream, rich ganache drizzle, and a chocolate malt ball.",Wheat,Contains,uber_eats
Red Velvet Cupcake,Favorites,None,None,Moist red velvet cake with cream cheese buttercream icing that will literally set you free.,Dairy,Contains,uber_eats
Wedding Cake Cupcake,Favorites,None,None,White velvet cake topped with almond buttercream.,Tree Nuts,Contains,uber_eats
Birthday Cake Cupcake,Cupcakes,None,None,"Just perfect yellow butter cake with chocolate frosting, plus tons of sprinkles on top.",Dairy,Contains,uber_eats
Chocolate Cheesecake Cupcake,Cupcakes,None,None,"Chocolate cake with a cream cheese frosting, topped with milk chocolate curls.",Dairy,Contains,uber_eats
Chocolate High Cupcake,Cupcakes,None,None,"Decadent chocolate cake topped with our chocolate buttercream, rich ganache drizzle, and a chocolate malt ball.",Wheat,Contains,uber_eats
Coconut Cream Cupcake,Cupcakes,None,None,"Tender white velvet cake, smooth coconut cream buttercream frosting, topped with a pinch of fluffy, sweet coconut. Coconuddy buddy.","Coconut, Dairy",Contains,uber_eats
Curious George Cupcake,Cupcakes,None,None,Fresh banana cake covered with a generous portion of our famous peanut butter buttercream frosting and candy bananas.,"Dairy, Peanuts",Contains,uber_eats
Key Lime Pie Cupcake,Cupcakes,None,None,"White velvet cake topped with key lime buttercream, a gummy lime candy, and graham cracker crumbles.",Wheat,Contains,uber_eats
Peanut Butter Cheesecake Cupcake,Cupcakes,None,None,Peanut butter cake topped with cream cheese buttercream. This cupcake contains both peanut butter and cream cheese.,"Dairy, Peanuts",Contains,uber_eats
Peanut Butter Cup Cupcake,Cupcakes,None,None,"Devils food cake topped with creamy peanut butter buttercream, a chocolate drizzle, and a peanut butter cup candy.","Dairy, Peanuts",Contains,uber_eats
Wedding Cake Cupcake,Cupcakes,None,None,White velvet cake topped with almond buttercream.,Tree Nuts,Contains,uber_eats
"9"" Square Cake*",Standard Cakes,None,None,Serves 30. Egg and dairy. *REQUIRES 48 HOURS NOTICE.,Eggs,Contains,uber_eats
"8"" Square Cake",Custom Cakes,None,None,Serves 20. Egg and dairy.,Eggs,Contains,uber_eats
"9"" Square Cake",Custom Cakes,None,None,Serves 30. Egg and dairy.,Eggs,Contains,uber_eats
Brownie,Desserts,None,None,Egg and dairy.,Eggs,Contains,uber_eats
Mini Oatmeal Creme Pie,Desserts,None,None,Dairy and egg.,Eggs,Contains,uber_eats
Large Oatmeal Creme Pie,Desserts,None,None,Dairy and egg.,Eggs,Contains,uber_eats
Big Cookie,Desserts,None,None,Egg and dairy.,Eggs,Contains,uber_eats
Shrimp Alfredo Pasta,Pasta,None,None,,"Shellfish, Wheat",Contains,uber_eats
Chicken Alfredo Pasta,Pasta,None,None,,Wheat,Contains,uber_eats
Phillly Cheese Steak Wrap,Wraps,None,None,,Dairy,Contains,uber_eats
Shrimp Quesadilla Wrap,Wraps,None,None,,Shellfish,Contains,uber_eats
 Dumpling Curry,Picked for you,None,None,"IFresh handmade cottage cheese dumplings cooked in rich curry creamy sauce, Indian herbs, and freshly grounded spices. ",Dairy,Contains,uber_eats
Creamy Black Lentils,Picked for you,None,None,"Pureed mildly spiced black lentils delicately cooked with tomatoes, onions, butter, fresh herbs and topped with cream. ",Dairy,Contains,uber_eats
Chili Cottage Cheese,Picked for you,None,None,"Fresh homemade Indian cottage cheese sauteed with bell peppers, onions, chilies and tossed in a sweet and sour chili garlic sauce.","Dairy, Garlic",Contains,uber_eats
Tandoori Cottage Cheese,Picked for you,None,None,Homemade cottage cheese cubes marinated in yogurt and Indian spices and grilled in a clay oven with bell peppers and onion.,"Dairy, Onion",Contains,uber_eats
Batter Fried Onion Pakodas  ,Appetizers ,None,None,"Onions chopped, seasoned, and batter-fried till golden and crisp.","Onion, Wheat",Contains,uber_eats
Tandoori Cottage Cheese,Appetizers ,None,None,Homemade cottage cheese cubes marinated in yogurt and Indian spices and grilled in a clay oven with bell peppers and onion.,"Dairy, Onion",Contains,uber_eats
Chili Cottage Cheese,Appetizers ,None,None,"Fresh homemade Indian cottage cheese sauteed with bell peppers, onions, chilies and tossed in a sweet and sour chili garlic sauce.","Dairy, Garlic",Contains,uber_eats
Tangy Garbanzo Curry,Vegetarian Entrees,None,None,"Chickpeas, cooked in an onion and tomato curry with Indian whole spice.
",Onion,Contains,uber_eats
Okra Masala  ,Vegetarian Entrees,None,None,"Okra fried with onions, garlic, and Indian spices till crisp. Served with a side of rice.",Garlic,Contains,uber_eats
Tikka Masala Cottage Cheese,Vegetarian Entrees,None,None,"Cottage cheese cubes grilled and cooked in thick onion, tomato, and cream gravy. ","Dairy, Onion",Contains,uber_eats
Cottage Cheese In Spinach,Vegetarian Entrees,None,None,"Cottage cheese Cottage cheese cooked in spinach curry with spices and onion, garlic, and tomato.","Dairy, Garlic, Onion",Contains,uber_eats
Creamy Black Lentils,Vegetarian Entrees,None,None,"Pureed mildly spiced black lentils delicately cooked with tomatoes, onions, butter, fresh herbs and topped with cream. ",Dairy,Contains,uber_eats
 Dumpling Curry,Vegetarian Entrees,None,None,"IFresh handmade cottage cheese dumplings cooked in rich curry creamy sauce, Indian herbs, and freshly grounded spices. ",Dairy,Contains,uber_eats
 Garlic Naan,Indian Breads,None,None,Leavened refined wheat flatbread baked in a tandoor clay oven and topped with garlic.,"Garlic, Wheat",Contains,uber_eats
Plain Naan ,Indian Breads,None,None,Leavened refined wheat  flatbread baked in a tandoor clay oven. ,Wheat,Contains,uber_eats
Classic Roti ,Indian Breads,None,None,Whole wheat flatbread baked to perfection in an Indian clay oven.,Wheat,Contains,uber_eats
Creamy Rice Pudding ,Desserts &amp; Beverages,None,None,"Indian dessert made of broken rice cooked with milk, cardamom pods.",Dairy,Contains,uber_eats
Lassi ,Desserts &amp; Beverages,None,None,Blended yogurt smooth and seasoned to your taste.,Dairy,Contains,uber_eats
OG Mango Yogurt Smoothie,Desserts &amp; Beverages,None,None,"Creamy mango lassi made with sweet mangoes, yogurt, and a touch of cardamom.",Dairy,Contains,uber_eats
Kati Roll,Picked for you,None,None,Indian bread rolled with onions and cilantro served with rice and raita.,Wheat,Contains,uber_eats
Paneer Veg Roll,Picked for you,None,None,Indian cheese sautes with bell peppers and onions.,Dairy,Contains,uber_eats
Mango Lassi,Picked for you,None,None,Fresh chilled yogurt with mango pulp.,Dairy,Contains,uber_eats
Kati Roll,Pick a Base,None,None,Indian bread rolled with onions and cilantro served with rice and raita.,Wheat,Contains,uber_eats
Paneer Veg Roll,Specials,None,None,Indian cheese sautes with bell peppers and onions.,Dairy,Contains,uber_eats
Raita,Sides,None,None,Fresh yogurt lightly seasoned and blended with cool cucumber.,Dairy,Contains,uber_eats
Mango Lassi,Beverage,None,None,Fresh chilled yogurt with mango pulp.,Dairy,Contains,uber_eats
Shrimp Broccoli,Picked for you,None,None,Served with fried rice.,Shellfish,Contains,uber_eats
Sweet and Sour Shrimp,Picked for you,None,None,Served with fried rice.,Shellfish,Contains,uber_eats
Shrimp Fried Rice,Fried Rice,None,None,,Shellfish,Contains,uber_eats
Shrimp Lo Mein,Lo Mein,None,None,,Shellfish,Contains,uber_eats
Chicken Cashew Nuts,Chicken,None,None,Served with fried rice. dishes feature chicken breast and home-made sauce.,Tree Nuts,Contains,uber_eats
Garlic Chicken,Chicken,None,None,Served with fried rice. dishes feature chicken breast and home-made sauce.,Garlic,Contains,uber_eats
Sweet Sesame Beef,Beef,None,None,Served with fried rice. dishes feature sliced sirloin beef and home-made sauce.,Sesame,Contains,uber_eats
Shrimp Broccoli,Shrimp,None,None,Served with fried rice.,Shellfish,Contains,uber_eats
Season Shrimp (4 pcs),Shrimp,None,None,Served with fried rice.,Shellfish,Contains,uber_eats
Kung Pao Shrimp,Shrimp,None,None,Hot and spicy. Served with fried rice.,Shellfish,Contains,uber_eats
Garlic Shrimp,Shrimp,None,None,Served with fried rice.,"Garlic, Shellfish",Contains,uber_eats
Mongolian Shrimp,Shrimp,None,None,Served with fried rice.,Shellfish,Contains,uber_eats
Sweet and Sour Shrimp,Shrimp,None,None,Served with fried rice.,Shellfish,Contains,uber_eats
Shrimp with Cashew Nuts,Shrimp,None,None,Served with fried rice.,"Shellfish, Tree Nuts",Contains,uber_eats
Triple Delight,Shrimp,None,None,Served with fried rice.,Shellfish,Contains,uber_eats
Sauteed 4 Season Vegetable,Vegetable and Tofu,None,None,,Soybeans,Contains,uber_eats
Kung Pao Tofu,Vegetable and Tofu,None,None,Hot and spicy.,Soybeans,Contains,uber_eats
Vegetable Tofu,Vegetable and Tofu,None,None,,Soybeans,Contains,uber_eats
Hunan Spicy Tofu,Vegetable and Tofu,None,None,Hot and spicy.,Soybeans,Contains,uber_eats
Deluxe Combo Platters,Deluxe Combo Platters,None,None,"Sesame chicken, general Tso's chicken hot and spicy, chicken teriyaki, spicy chicken hot and spicy, chicken vegetables, black pepper chicken, mixed vegetables. Choice of any 2 of the following meat with fried rice.",Sesame,Contains,uber_eats
General Tso's Chicken Combo Platter,Combination Platters,None,None,Served with fried rice and noodle.,Wheat,Contains,uber_eats
Chicken Teriyaki Combo Platter,Combination Platters,None,None,Served with fried rice and noodle.,Wheat,Contains,uber_eats
Beef Teriyaki  Combo Platter,Combination Platters,None,None,Served with fried rice and noodle.,Wheat,Contains,uber_eats
Garden Platter,Combination Platters,None,None,Mixed vegetables with fried rice and noodle.,Wheat,Contains,uber_eats
Vegetable Egg Roll,Side Order,None,None,,Eggs,Contains,uber_eats
Cheese Wonton (6 pcs),Side Order,None,None,,Dairy,Contains,uber_eats
Egg Drop Soup,Side Order,None,None,,Eggs,Contains,uber_eats
An Offer You Can't Refuse Pasta (Bolognese),Picked for you,None,None,"If you like your prized pet’s head intact, we suggest you don’t turn us down on our offer to try our delicious bolognese pasta.",Wheat,Contains,uber_eats
